title,link,ngay_dang,gia,dien_tich,khu_vuc,link_img,crawl_time
"Bán nhà hẻm xe hơi đường Gò Dầu, phường Tân Quý, Tân Phú, giá chào 9.5 tỷ(TL)",https://batdongsan24h.com.vn/ban-nha-quan-tan-phu/ban-nha-hem-xe-hoi-duong-go-dau-phuong-tan-quy-tan-phu-gia-chao-9-5-ty-tl-2956274.html,28/06/2023,9.5 Tỷ,72 m2,"Quận Tân Phú, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/25/133321370116382214-356220445-197952437911.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà mặt phố Đường Lê Văn Huân, Phường 13, Quận Tân Bình, 10.2 tỷ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-tan-binh/ban-nha-mat-pho-duong-le-van-huan-phuong-13-quan-tan-binh-10-2-ty-2953688.html,28/06/2023,10.2 Tỷ,54 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/23/133319657085717937-z22060226617.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà hẻm xe hơi đường Nguyễn Bá Tòng, phường 11 Tân Bình, 9.5 tỷ(TL)",https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-hem-xe-hoi-duong-nguyen-ba-tong-phuong-11-tan-binh-9-5-ty-tl-2955247.html,28/06/2023,9.5 Tỷ,80 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/24/133320550931262309-z4458976573898-69010c1c3918083546a158c7feb0bec3.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà mặt phố Đường Số 53A, Phường Bình Trị Đông B, Quận Bình Tân, 11.5 tỷ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-binh-tan/ban-nha-mat-pho-duong-so-53a-phuong-binh-tri-dong-b-quan-binh-tan-11-5-ty-2960313.html,28/06/2023,11.5 Tỷ,100 m2,"Quận Bình Tân, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/28/133323887943242816-347394801-1220352118670150.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà mặt phố Đường Lê Văn Huân, Phường 13, Quận Tân Bình, 10.2 tỷ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-tan-binh/ban-nha-mat-pho-duong-le-van-huan-phuong-13-quan-tan-binh-10-2-ty-2953687.html,27/06/2023,10.2 Tỷ,54 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/23/133319657085717937-z22060226617.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán biệt thự hẻm xe hơi đường Hồ Biểu Chánh, phường 11 Phú Nhuận, chỉ còn 17.2 tỷ",https://batdongsan24h.com.vn/ban-nha-quan-phu-nhuan/ban-biet-thu-hem-xe-hoi-duong-ho-bieu-chanh-phuong-11-phu-nhuan-chi-con-17-2-ty-2958663.html,27/06/2023,17.2 Tỷ,84 m2,"Quận Phú Nhuận, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/28/133323889900121294-z2177949133722-4b6f534d08c5d70419db2f68333a74d6.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán căn hộ chung cư Lotus Sen hồng, Đường Quốc Lộ 1A, Tp Thủ Đức",https://batdongsan24h.com.vn/ban-can-ho-chung-cu-tp-thu-duc/ban-can-ho-chung-cu-lotus-sen-hong-duong-quoc-lo-1a-tp-thu-duc-2951416.html,21/06/2023,1.07 Tỷ,37 m2,"Tp Thủ Đức, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/21/133318153004547763-z4013198288847-d26201ed7741a2c77d8adbc91ad6f62d.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng",https://batdongsan24h.com.vn/ban-nha-quan-hai-ba-trung/ban-nha-pho-lo-duc-phuong-dong-mac-quan-hai-ba-trung-2936604.html,11/06/2023,5.7 Tỷ,79 m2,"Quận Hai Bà Trưng, Hà Nội",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/11/133309305278992413-1.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Nhà nhỏ sở hữu chính chủ đường Chu Văn An, Phường 12, Quận Bình Thạnh",https://batdongsan24h.com.vn/ban-nha-quan-binh-thanh/nha-nho-so-huu-chinh-chu-duong-chu-van-an-phuong-12-quan-binh-thanh-2929493.html,06/06/2023,2.7 Tỷ,55.4 m2,"Quận Bình Thạnh, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/06/133305191885368145-ban-nha-phuong-12.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán đất Đường Ghềnh Đá - Hồng Phương, Xã Trung Kiên, Huyện Yên Lạc",https://batdongsan24h.com.vn/ban-dat-huyen-yen-lac/ban-dat-duong-ghenh-da-hong-phuong-xa-trung-kien-huyen-yen-lac-2846871.html,12/04/2023,18.5 Triệu/m2,235 m2,"Huyện Yên Lạc, Vĩnh Phúc",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/04/12/133257588751128993-ban-dat-trung-kien.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
Bán Nhà Quận 1 - Sát Mặt Tiền - 46M - Ngộp Bank - Nhỉnh 6Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-1/ban-nha-quan-1-sat-mat-tien-46m-ngop-bank-nhinh-6ty-2956835.html,29/06/2023,6.8 Tỷ,44 m2,"Quận 1, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/25/133321838764972563-1687629147644.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà Đường Cách Mạng Tháng Tám, Phường 15, Quận 10",https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-duong-cach-mang-thang-tam-phuong-15-quan-10-2949711.html,29/06/2023,7 Tỷ,36 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/20/133317230728280887-1685978184003.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
Bán Nhà Tân Bình - Sát Quận 10 - Hẻm Xe Tải Kinh Doanh Tốt - Sổ Đẹp - 61M Nhỉnh 8Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-tan-binh-sat-quan-10-hem-xe-tai-kinh-doanh-tot-so-dep-61m-nhinh-8ty-2934830.html,29/06/2023,8.6 Tỷ,61 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/09/133307772348325844-1686296890490.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:54
Bán Nhà Bình Thạnh Ngay Chợ Cây Quéo - Sát Hẻm Xe Hơi   - 4Tầng - Nhỉnh 3TỶ,https://batdongsan24h.com.vn/ban-nha-quan-binh-thanh/ban-nha-binh-thanh-ngay-cho-cay-queo-sat-hem-xe-hoi-4tang-nhinh-3ty-2954631.html,29/06/2023,3.9 Tỷ,27 m2,"Quận Bình Thạnh, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/23/133320081755348215-1687365166965.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
Bán Gấp Nhà Mặt Tiền Quận 8 - Tiện Kinh Doanh Và Cho Thuê - 5PN - Chỉ 9Tỷ1,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-gap-nha-mat-tien-quan-8-tien-kinh-doanh-va-cho-thue-5pn-chi-9ty1-2845134.html,29/06/2023,9.1 Tỷ,50 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/04/11/133256746404621192-1680059727471.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
Bán Gấp Nhà Mặt Tiền Quận 8 - Tiện Kinh Doanh Và Cho Thuê - 5PN - Chỉ 9Tỷ1,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-gap-nha-mat-tien-quan-8-tien-kinh-doanh-va-cho-thue-5pn-chi-9ty1-2843432.html,29/06/2023,9.1 Tỷ,50 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/04/10/133255921481008500-1680059727418.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Gấp Nhà Tân Bình - Sát Quận 10 - Hẻm Xe Tải Kinh Doanh Tốt - Sổ Đẹp - 61M Nhỉnh 8,https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-gap-nha-tan-binh-sat-quan-10-hem-xe-tai-kinh-doanh-tot-so-dep-61m-nhinh-8-2934855.html,29/06/2023,8.6 Tỷ,61 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/09/133307778701465405-1686296890490.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 8 - Hẻm Xe Hơi - Đã Bỏ Quy Hoạch - Không Lộ  Giới - 50M - Chỉ 3Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-quan-8-hem-xe-hoi-da-bo-quy-hoach-khong-lo-gioi-50m-chi-3ty-2795823.html,29/06/2023,3 Tỷ,50 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/03/14/133232413282360205-1664332991395.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà gần chợ Tân Hòa Đông, Quận 6, Hẻm 7M, 3 Tầng, 2 Tỷ 45 TL",https://batdongsan24h.com.vn/ban-nha-quan-6/ban-nha-gan-cho-tan-hoa-dong-quan-6-hem-7m-3-tang-2-ty-45-tl-2369069.html,29/06/2023,2.45 Tỷ,18 m2,"Quận 6, TP. HCM",/Content/images/pic-default.jpg?w=125,29/06/2023 15:00:57
Bán Nhà Quận 5 - Hẻm Xe Hơi - 7PN Đang Có Dòng Tiền Cho Thuê - 10Tỷ5,https://batdongsan24h.com.vn/ban-nha-quan-5/ban-nha-quan-5-hem-xe-hoi-7pn-dang-co-dong-tien-cho-thue-10ty5-2683900.html,29/06/2023,10.5 Tỷ,50 m2,"Quận 5, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/07/133148555533515418-fb-img-1669800760333.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 10 - Lý Thường Kiệt - Hẻm Xe Hơi Thông - Sát Mặt Tiền - Giảm 1Tỷ - 5Tỷ8,https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-quan-10-ly-thuong-kiet-hem-xe-hoi-thong-sat-mat-tien-giam-1ty-5ty8-2688467.html,29/06/2023,5.8 Tỷ,28 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/09/133150495355864267-1670490590651.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 8 - Vài Mét Ra Mặt Tiền - Không Quy Hoạch DTSD 46M 2Tỷ2,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-quan-8-vai-met-ra-mat-tien-khong-quy-hoach-dtsd-46m-2ty2-2683387.html,29/06/2023,2.2 Tỷ,46 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/06/133148174054841662-received-1248467222609681.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 10 - Khu Vip Dân Trí - Hẻm Xe Tải - 3Tỷ5,https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-quan-10-khu-vip-dan-tri-hem-xe-tai-3ty5-2686936.html,29/06/2023,3.5 Tỷ,23 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/08/133149740928491911-1670499762915.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 10 - Hẻm Xe Hơi Lô Gốc 2 Mặt Tiền - Ngang 5m - Chỉ 6Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-quan-10-hem-xe-hoi-lo-goc-2-mat-tien-ngang-5m-chi-6ty-2693551.html,29/06/2023,6 Tỷ,30 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/13/133153806251844027-1670820437374.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà Đường Cách Mạng Tháng Tám, Phường 13, Quận 10",https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-duong-cach-mang-thang-tam-phuong-13-quan-10-2695856.html,29/06/2023,11.9 Tỷ,64 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/14/133154832035866265-1670725769318.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 10 - 2 Mặt Hẻm Xe Hơi Đỗ Cửa - 5PN - 80M Chỉ 16Tỷ999,https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-quan-10-2-mat-hem-xe-hoi-do-cua-5pn-80m-chi-16ty999-2762061.html,29/06/2023,16.999 Tỷ,80 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/02/21/133214396513309226-1676947410051.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Bình Chánh - Hẻm Xe Hơi  KIA - 75m - Chỉ Nhỉnh 1 Tỷ,https://batdongsan24h.com.vn/ban-nha-huyen-binh-chanh/ban-nha-binh-chanh-hem-xe-hoi-kia-75m-chi-nhinh-1-ty-2788357.html,29/06/2023,1.6 Tỷ,75 m2,"Huyện Bình Chánh, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/03/09/133228326976884680-1677468359602.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 6 Hồng Bàng - 77m - Không Quy Hoạch - Nhỉnh 4TỶ,https://batdongsan24h.com.vn/ban-nha-quan-6/ban-nha-quan-6-hong-bang-77m-khong-quy-hoach-nhinh-4ty-2834271.html,29/06/2023,4.8 Tỷ,77 m2,"Quận 6, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/09/133307775636769061-1678958261181.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 8 - Giảm Mạnh 1Tỷ4 - 64M 5 Tầng BTCT - Sát Mặt Tiền - 7Tỷ6,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-quan-8-giam-manh-1ty4-64m-5-tang-btct-sat-mat-tien-7ty6-2837767.html,29/06/2023,7.6 Tỷ,64 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/04/06/133252492111744263-1663552252221.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Tân Bình - Sát Quận 10 - Hẻm Xe Tải Kinh Doanh Tốt - Sổ Đẹp - 61M Nhỉnh 8,https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-tan-binh-sat-quan-10-hem-xe-tai-kinh-doanh-tot-so-dep-61m-nhinh-8-2948726.html,29/06/2023,8.6 Tỷ,61 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/19/133316670847065216-1686296890396.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà Đường Hưng Phú, Phường 9, Quận 8",https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-duong-hung-phu-phuong-9-quan-8-2683103.html,29/06/2023,2.2 Tỷ,46 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/06/133147951698983528-1664872714893.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Gấp Nhà Quận 10 - 3 Tháng 2 - 5 Tầng BTCT - Hẻm Xe Hơi - 47M 8TỶ2,https://batdongsan24h.com.vn/ban-nha-quan-10/ban-gap-nha-quan-10-3-thang-2-5-tang-btct-hem-xe-hoi-47m-8ty2-2686865.html,29/06/2023,8.2 Tỷ,47 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/12/08/133149686524234350-1670490117294.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà Phạm Thế Hiển Quận 8, Xe hơi 7 chỗ kinh doanh, 60M2, 4TỶ8.",https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-pham-the-hien-quan-8-xe-hoi-7-cho-kinh-doanh-60m2-4ty8-2432384.html,29/06/2023,4.8 Tỷ,60 m2,"Quận 8, TP. HCM",/Content/images/pic-default.jpg?w=125,29/06/2023 15:00:57
"Bán nhà Đường Nguyễn Tri Phương, Phường 8, Quận 10",https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-duong-nguyen-tri-phuong-phuong-8-quan-10-2085976.html,29/06/2023,12.799 Tỷ,41 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/01/25/132875510708450119-img-8986.JPG?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 3 - Hẻm Xe Hơi 6M - 65m - 11tỷ9,https://batdongsan24h.com.vn/ban-nha-quan-3/ban-nha-quan-3-hem-xe-hoi-6m-65m-11ty9-2049708.html,29/06/2023,11.9 Tỷ,65 m2,"Quận 3, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2021/12/22/132846647603110573-img-2322.JPG?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà Quận 8, Hẻm Xe Hơi 7 Chỗ Chạy Vi Vu, 60M2,Không Lỗi Phong",https://batdongsan24h.com.vn/ban-nha-quan-8/ban-nha-quan-8-hem-xe-hoi-7-cho-chay-vi-vu-60m2-khong-loi-phong-2432365.html,29/06/2023,4.9 Tỷ,60 m2,"Quận 8, TP. HCM",/Content/images/pic-default.jpg?w=125,29/06/2023 15:00:57
"Bán nhà Đường Cách Mạng Tháng Tám, Phường 1, Quận 3",https://batdongsan24h.com.vn/ban-nha-quan-3/ban-nha-duong-cach-mang-thang-tam-phuong-1-quan-3-1766498.html,29/06/2023,12.8 Tỷ,51 m2,"Quận 3, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2021/05/30/132667813715695815-img-4200.JPG?w=125&h=90&mode=crop,29/06/2023 15:00:57
"Bán nhà , Phường 14, Quận 10",https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-phuong-14-quan-10-2064854.html,29/06/2023,9.3 Tỷ,41 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2022/01/04/132857535897781951-img-3003.JPG?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Quận 4 - Giáp Quận 1 - 98M - 5 Tầng - 6PN - Nhỉnh 8Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-4/ban-nha-quan-4-giap-quan-1-98m-5-tang-6pn-nhinh-8ty-2955943.html,29/06/2023,8.35 Triệu,98 m2,"Quận 4, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/24/133320983300278857-1684841880223.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Gáp Lô Đất Giáp Quận 1 - 94M - Hẻm Xe Hơi Kinh Doanh - Sát Mặt Tiền - Chỉ 8TỶ3,https://batdongsan24h.com.vn/ban-nha-quan-8/ban-gap-lo-dat-giap-quan-1-94m-hem-xe-hoi-kinh-doanh-sat-mat-tien-chi-8ty3-2952815.html,29/06/2023,8.3 Tỷ,94 m2,"Quận 8, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/22/133319104136913628-1678265051768.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:57
Bán Nhà Tân Bình - Hẻm Xe Hơi - 4Tầng 4PN - 56m - Nhỉnh 6Tỷ,https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-tan-binh-hem-xe-hoi-4tang-4pn-56m-nhinh-6ty-2959735.html,29/06/2023,6.9 Tỷ,56 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/27/133323361336219298-1687860116772.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:59
"BÁN NHÀ ĐẸP  FULL NỘI THẤT ĐƯỜNG HẢI PHÒNG, ĐÀ NẴNG, CHỈ 1,9 TỶ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-thanh-khe/ban-nha-dep-full-noi-that-duong-hai-phong-da-nang-chi-1-9-ty-2936134.html,29/06/2023,1.9 Tỷ,40 m2,"Quận Thanh Khê, Đà Nẵng",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/10/133308724671215480-1.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:59
"BÁN NHÀ NGHỈ 3 TẦNG MẶT TIỀN ĐƯỜNG 7,5M TRUNG TÂM QUẬN SƠN TRÀ, ĐÀ NẴNG, CHỈ 5,5 TỶ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-son-tra/ban-nha-nghi-3-tang-mat-tien-duong-7-5m-trung-tam-quan-son-tra-da-nang-chi-5-5-ty-2913248.html,29/06/2023,5.5 Tỷ,100 m2,"Quận Sơn Trà, Đà Nẵng",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/05/27/133295983099764655-5.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:59
